Name,ISO,UN_Region,UN_Subregion,WB_Income_Group,HDI_Group,UNFCCC,G7,G20,G77,LDC,SIDS,AOSIS,BASIC,BRICS,EU27,ETS,OPEC,Arab_States,Cartagena,Umbrella,MAC_MIT,MAC_McKinsey,MAC_GCAM,RCP_IIASA
Mozambique,MOZ,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRE,MAF
Myanmar,MMR,Asia,South-eastern Asia,LMC,Med HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ROW,rdASI,SEASI,ASIA
Namibia,NAM,Africa,Sub-Saharan Africa,UMC,Med HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRS,MAF
Nepal,NPL,Asia,Southern Asia,LMC,Med HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ROW,rdASI,SASI,ASIA
Netherlands,NLD,Europe,Western Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,EUR,rEUR,EU12,OECD90
New Caledonia,NCL,Oceania,Melanesia,HIC,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ROW,rEUR,ANZg,OECD90
New Zealand,NZL,Oceania,Australia and New Zealand,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,ANZ,rOECDP,ANZg,OECD90
Nicaragua,NIC,Americas,Latin America and the Caribbean,LMC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LAM,rLAM,CAC,LAMi
Niger,NER,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Nigeria,NGA,Africa,Sub-Saharan Africa,LMC,Lo HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,AFR,rAFR,AFRW,MAF
